Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1uF,
"C2, C3",0603,2,10uF,
"D1, D2, D3, D4",D_SMA,4,SS14,
"D5, D6",D_SMA,2,MBRA340,
"J1, J2, J3, J4, J6",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02,
J5,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
"MOSFET1, MOSFET2, MOSFET3, MOSFET4",SOT-23_MCC,4,SI2302-TP,
"R1, R14, R2, R3, R4_2, R4, R7, R8",0402,8,10K,
"R10, R11, R12, R9",0402,4,100,
R13,0402,1,20K,
"R16, R17",0402,2,5.1K,
"R5, R6",0402,2,4.7K,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,MPU6500,C50278
U2,LGA-16_L3.0-W3.0-P0.50-BL_SQ,1,QMC5883L,C976032
U3,BULETM-SMD_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1,
U4,SOT-23-5,1,AP2112K-3.3,
