Slave Drone,,Total Price: 181.70,~196,,
,,,,,
,,,,,
,,,,,
Component,Value,Product link,Qty,Total Price ($),Notes
Capacitor,1uF,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,20,0.106,
Capacitor,10uF,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,40,0.592,
Diode,SS14,https://jlcpcb.com/partdetail/MDD_Microdiode_Semiconductor-SS14/C2480,18,0.3024,
Diode,MBRA340,https://jlcpcb.com/partdetail/FUXINSEMI-MBRA340T3GFS/C5563736,10,0.796,
USB-C,USB_C_Receptacle_USB2.0_16P,https://jlcpcb.com/partdetail/HCTL-HC_TYPE_C_16P01A/C2894897,2,0.1972,
MOSFET,SI2302-TP,https://jlcpcb.com/partdetail/79111-SI2302TP/C77977,12,0.5268,
Resistor,10K,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,24,0.0312,
Resistor,4.7K,https://jlcpcb.com/partdetail/26643-0402WGF4701TCE/C25900,20,0.02,
Resistor,100,https://jlcpcb.com/partdetail/25819-0402WGF1000TCE/C25076,20,0.02,
Resistor,20K,https://jlcpcb.com/partdetail/26508-0402WGF2002TCE/C25765,20,0.02,
Resistor,5.1K,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,20,0.018,
IMU,MPU6500,https://jlcpcb.com/partdetail/TDKInvenSense-MPU6500/C50278,2,9.0042,
ESP32-S3,ESP32-S3-MINI-1,https://jlcpcb.com/partdetail/EspressifSystems-ESP32_S3_MINI_1N8/C2913206,2,9.3612,
Voltage Regulator,AP2112K-3.3,https://jlcpcb.com/partdetail/TECHPUBLIC-AP2112K_33TRG1/C23380830,5,0.542,
Magnetometer,QMC5883P,https://jlcpcb.com/partdetail/QST-QMC5883P/C2847467,2,3.05,Changed to P instead of L due to part shortages || Board changed || Same footprint
1x02 pin header,Conn_01x02,https://www.lcsc.com/product-detail/C42431804.html?s_z=n_q_l_1x02&spm=wm.fly.bg.0.xh___wm.ssy.ml.1-3.ent&lcsc_vid=E1JXU1MEQ1NfXlNfFVdYBgBXRVINV1FWQwAMXgEHQgcxVlNeR1lZXlVWT1VcUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktQQ1RADxALGw%3D%3D,1,0.45,Self assembled || Comes in 20 pins
SMD Push button,SW_Push,https://jlcpcb.com/partdetail/ALPSALPINE-SKRKAHE020/C202388,2,0.87,
